date,GME,"0.0:Complaints/Comments of other users (shills, trolls, etc.)",0.0:Crime/Nefarious Use of Stock Market,0.0:Data Posts/Nonsense,"0.0:Diamond Hands, Apes Vs. Hedge Funds ","0.0:MOD Posts, Many Links","0.0:New Post Links, Other Links",0.0:Press Releases/News,0.0:Short Squeeze by Holding Stock,0.0:Trading Accounts,0.0:Trading/Shorting GME,2.0:Crime/Nefarious Use of Stock Market,"2.0:Diamond Hands, Apes Vs. Hedge Funds ",2.0:Press Releases/News,"3.0:Complaints/Comments of other users (shills, trolls, etc.)",3.0:Crime/Nefarious Use of Stock Market,3.0:Data Posts/Nonsense,"3.0:Diamond Hands, Apes Vs. Hedge Funds ","3.0:MOD Posts, Many Links","3.0:New Post Links, Other Links",3.0:Press Releases/News,3.0:Short Squeeze by Holding Stock,3.0:Trading Accounts,3.0:Trading/Shorting GME,"5.0:Complaints/Comments of other users (shills, trolls, etc.)",5.0:Crime/Nefarious Use of Stock Market,5.0:Data Posts/Nonsense,"5.0:Diamond Hands, Apes Vs. Hedge Funds ","5.0:MOD Posts, Many Links","5.0:New Post Links, Other Links",5.0:Press Releases/News,5.0:Short Squeeze by Holding Stock,5.0:Trading Accounts,5.0:Trading/Shorting GME,"6.0:Complaints/Comments of other users (shills, trolls, etc.)",6.0:Crime/Nefarious Use of Stock Market,6.0:Data Posts/Nonsense,"6.0:Diamond Hands, Apes Vs. Hedge Funds ","6.0:MOD Posts, Many Links","6.0:New Post Links, Other Links",6.0:Press Releases/News,6.0:Short Squeeze by Holding Stock,6.0:Trading Accounts,6.0:Trading/Shorting GME,"7.0:Complaints/Comments of other users (shills, trolls, etc.)",7.0:Crime/Nefarious Use of Stock Market,7.0:Data Posts/Nonsense,"7.0:Diamond Hands, Apes Vs. Hedge Funds ","7.0:MOD Posts, Many Links","7.0:New Post Links, Other Links",7.0:Press Releases/News,7.0:Short Squeeze by Holding Stock,7.0:Trading Accounts,7.0:Trading/Shorting GME,all
2021-01-05,4.34250020980835,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2021-01-06,4.590000152587891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2021-01-10,4.422500133514404,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2021-01-12,4.987500190734863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2021-01-14,9.977499961853027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2021-01-15,8.875,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2021-01-16,8.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2021-01-17,8.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2021-01-18,8.875,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2021-01-19,9.84000015258789,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
