date,0,1,2,3,4,5,6,7,all
2021-01-04,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2021-01-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2021-01-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2021-01-10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2021-01-12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2021-01-14,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
2021-01-15,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0
2021-01-16,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
2021-01-17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2021-01-18,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0
2021-01-19,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0
2021-01-21,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0
2021-01-22,0.0,2.0,3.0,0.0,4.0,1.0,2.0,1.0,13.0
2021-01-23,1.0,2.0,0.0,1.0,3.0,0.0,1.0,0.0,8.0
2021-01-24,0.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,7.0
2021-01-25,1.0,26.0,8.0,6.0,16.0,7.0,1.0,0.0,65.0
2021-01-26,1.0,19.0,5.0,6.0,13.0,1.0,0.0,0.0,45.0
2021-01-27,1.0,44.0,26.0,41.0,18.0,6.0,10.0,4.0,150.0
2021-01-28,4.0,169.0,58.0,86.0,89.0,16.0,22.0,3.0,447.0
2021-01-29,10.0,104.0,57.0,64.0,55.0,15.0,20.0,4.0,329.0
2021-01-30,1.0,16.0,19.0,16.0,16.0,5.0,7.0,2.0,82.0
2021-01-31,3.0,11.0,20.0,23.0,17.0,4.0,10.0,2.0,90.0
2021-02-01,3.0,24.0,45.0,46.0,61.0,12.0,20.0,9.0,220.0
2021-02-02,2.0,58.0,45.0,73.0,69.0,11.0,31.0,9.0,298.0
2021-02-03,2.0,27.0,39.0,31.0,43.0,14.0,15.0,6.0,177.0
2021-02-04,4.0,27.0,32.0,32.0,32.0,7.0,16.0,6.0,156.0
2021-02-07,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2021-02-08,3.0,10.0,22.0,8.0,36.0,3.0,6.0,1.0,89.0
2021-02-09,7.0,17.0,33.0,8.0,37.0,8.0,10.0,0.0,120.0
2021-02-10,4.0,31.0,40.0,13.0,81.0,16.0,47.0,1.0,233.0
2021-02-11,13.0,59.0,77.0,20.0,149.0,17.0,27.0,1.0,363.0
2021-02-12,11.0,72.0,95.0,51.0,150.0,21.0,32.0,2.0,434.0
2021-02-13,7.0,34.0,51.0,19.0,75.0,12.0,13.0,4.0,215.0
2021-02-14,6.0,30.0,46.0,11.0,81.0,11.0,5.0,1.0,191.0
2021-02-15,5.0,20.0,49.0,12.0,77.0,12.0,14.0,1.0,190.0
2021-02-16,4.0,19.0,22.0,8.0,59.0,8.0,14.0,3.0,137.0
2021-02-17,2.0,33.0,31.0,13.0,73.0,12.0,12.0,2.0,178.0
2021-02-18,35.0,167.0,212.0,51.0,404.0,50.0,76.0,10.0,1005.0
2021-02-19,22.0,111.0,170.0,49.0,247.0,31.0,52.0,9.0,691.0
2021-02-20,12.0,47.0,76.0,21.0,153.0,22.0,26.0,5.0,362.0
2021-02-21,8.0,42.0,63.0,16.0,127.0,11.0,23.0,3.0,293.0
2021-02-22,9.0,83.0,105.0,21.0,221.0,25.0,41.0,8.0,513.0
2021-02-23,16.0,81.0,112.0,34.0,227.0,24.0,40.0,4.0,538.0
2021-02-24,53.0,263.0,280.0,90.0,421.0,80.0,115.0,12.0,1314.0
2021-02-25,56.0,381.0,377.0,116.0,616.0,99.0,158.0,18.0,1821.0
2021-02-26,35.0,233.0,280.0,77.0,451.0,80.0,113.0,10.0,1279.0
2021-02-27,16.0,73.0,143.0,39.0,210.0,43.0,54.0,5.0,583.0
2021-02-28,26.0,92.0,147.0,43.0,203.0,60.0,80.0,7.0,658.0
2021-03-01,13.0,135.0,172.0,49.0,260.0,38.0,78.0,7.0,752.0
2021-03-02,22.0,135.0,160.0,51.0,297.0,51.0,76.0,8.0,800.0
2021-03-03,24.0,135.0,178.0,66.0,289.0,51.0,82.0,11.0,836.0
2021-03-04,23.0,118.0,194.0,66.0,334.0,53.0,90.0,10.0,888.0
2021-03-05,26.0,147.0,161.0,52.0,330.0,47.0,88.0,11.0,862.0
2021-03-06,25.0,67.0,109.0,39.0,173.0,23.0,63.0,4.0,503.0
2021-03-07,12.0,66.0,72.0,27.0,140.0,27.0,52.0,8.0,404.0
2021-03-08,30.0,129.0,126.0,33.0,217.0,25.0,53.0,5.0,618.0
2021-03-09,41.0,224.0,273.0,92.0,409.0,92.0,166.0,24.0,1321.0
2021-03-10,107.0,620.0,612.0,218.0,815.0,175.0,325.0,51.0,2923.0
2021-03-11,52.0,283.0,311.0,117.0,468.0,112.0,185.0,21.0,1549.0
2021-03-12,39.0,205.0,253.0,87.0,389.0,83.0,157.0,21.0,1234.0
2021-03-13,25.0,97.0,178.0,82.0,295.0,56.0,97.0,9.0,839.0
2021-03-14,38.0,126.0,170.0,74.0,303.0,72.0,129.0,19.0,931.0
2021-03-15,44.0,266.0,348.0,145.0,562.0,88.0,175.0,33.0,1661.0
2021-03-16,48.0,332.0,424.0,182.0,647.0,125.0,235.0,31.0,2024.0
2021-03-17,39.0,243.0,321.0,120.0,534.0,91.0,175.0,17.0,1540.0
2021-03-18,51.0,234.0,332.0,141.0,497.0,103.0,203.0,28.0,1589.0
2021-03-19,78.0,429.0,495.0,222.0,742.0,161.0,288.0,69.0,2484.0
2021-03-20,40.0,140.0,199.0,85.0,285.0,67.0,107.0,11.0,934.0
2021-03-21,40.0,138.0,174.0,76.0,253.0,67.0,152.0,12.0,912.0
2021-03-22,56.0,249.0,301.0,127.0,437.0,98.0,170.0,28.0,1466.0
2021-03-23,83.0,335.0,461.0,189.0,729.0,152.0,256.0,40.0,2245.0
2021-03-24,106.0,529.0,639.0,250.0,894.0,188.0,326.0,47.0,2979.0
2021-03-25,99.0,431.0,449.0,206.0,679.0,157.0,307.0,52.0,2380.0
2021-03-26,69.0,283.0,346.0,140.0,490.0,110.0,213.0,32.0,1683.0
2021-03-27,45.0,132.0,186.0,71.0,246.0,64.0,133.0,19.0,896.0
2021-03-28,26.0,105.0,142.0,85.0,200.0,57.0,80.0,22.0,717.0
2021-03-29,36.0,126.0,199.0,108.0,316.0,76.0,122.0,26.0,1009.0
2021-03-30,49.0,118.0,232.0,107.0,400.0,73.0,140.0,29.0,1148.0
2021-03-31,32.0,130.0,173.0,88.0,284.0,69.0,127.0,23.0,926.0
2021-04-01,26.0,121.0,224.0,90.0,280.0,72.0,127.0,32.0,972.0
2021-04-02,23.0,94.0,168.0,56.0,225.0,49.0,93.0,19.0,727.0
2021-04-03,19.0,65.0,122.0,58.0,172.0,49.0,90.0,11.0,586.0
2021-04-04,20.0,34.0,101.0,51.0,154.0,36.0,73.0,18.0,487.0
2021-04-05,52.0,196.0,391.0,213.0,500.0,137.0,211.0,62.0,1762.0
2021-04-06,7.0,23.0,47.0,32.0,62.0,16.0,45.0,5.0,237.0
2021-04-07,2.0,10.0,29.0,10.0,44.0,8.0,11.0,2.0,116.0
2021-04-08,8.0,9.0,47.0,12.0,66.0,14.0,22.0,3.0,181.0
2021-04-09,5.0,27.0,57.0,20.0,50.0,14.0,19.0,4.0,196.0
2021-04-10,3.0,4.0,14.0,8.0,26.0,7.0,12.0,5.0,79.0
2021-04-11,5.0,4.0,31.0,8.0,27.0,9.0,8.0,3.0,95.0
2021-04-12,4.0,26.0,57.0,18.0,61.0,8.0,18.0,2.0,194.0
2021-04-13,2.0,12.0,43.0,20.0,46.0,11.0,14.0,1.0,149.0
2021-04-14,7.0,21.0,49.0,16.0,40.0,17.0,24.0,2.0,176.0
2021-04-15,4.0,13.0,40.0,21.0,41.0,10.0,10.0,4.0,143.0
2021-04-16,3.0,17.0,27.0,16.0,34.0,14.0,25.0,7.0,143.0
2021-04-17,4.0,8.0,28.0,12.0,29.0,12.0,11.0,6.0,110.0
2021-04-18,6.0,4.0,11.0,12.0,26.0,12.0,9.0,1.0,81.0
2021-04-19,5.0,7.0,30.0,20.0,29.0,12.0,17.0,3.0,123.0
2021-04-20,4.0,6.0,25.0,14.0,35.0,10.0,17.0,2.0,113.0
2021-04-21,6.0,3.0,29.0,31.0,25.0,11.0,17.0,7.0,129.0
2021-04-22,8.0,10.0,44.0,24.0,34.0,11.0,24.0,11.0,166.0
2021-04-23,15.0,12.0,48.0,32.0,54.0,20.0,20.0,16.0,217.0
2021-04-24,5.0,6.0,30.0,16.0,24.0,13.0,8.0,5.0,107.0
2021-04-25,9.0,6.0,24.0,15.0,20.0,12.0,11.0,6.0,103.0
2021-04-26,13.0,27.0,57.0,35.0,35.0,17.0,22.0,18.0,224.0
2021-04-27,5.0,16.0,41.0,31.0,47.0,23.0,24.0,15.0,202.0
2021-04-28,5.0,15.0,44.0,25.0,40.0,15.0,21.0,9.0,174.0
2021-04-29,9.0,18.0,59.0,30.0,35.0,19.0,22.0,17.0,209.0
2021-04-30,7.0,9.0,45.0,26.0,37.0,15.0,13.0,15.0,167.0
2021-05-01,6.0,5.0,21.0,19.0,34.0,7.0,8.0,13.0,113.0
2021-05-02,3.0,5.0,24.0,26.0,20.0,10.0,9.0,4.0,101.0
2021-05-03,4.0,13.0,41.0,44.0,32.0,16.0,13.0,13.0,176.0
2021-05-04,8.0,13.0,54.0,38.0,37.0,7.0,16.0,22.0,195.0
2021-05-05,7.0,20.0,67.0,64.0,59.0,22.0,23.0,37.0,299.0
2021-05-06,12.0,10.0,42.0,56.0,48.0,14.0,17.0,16.0,215.0
2021-05-07,5.0,12.0,37.0,21.0,20.0,17.0,6.0,13.0,131.0
2021-05-08,2.0,5.0,11.0,9.0,10.0,7.0,10.0,4.0,58.0
2021-05-09,2.0,6.0,14.0,11.0,16.0,8.0,2.0,2.0,61.0
2021-05-10,4.0,6.0,39.0,20.0,35.0,6.0,11.0,13.0,134.0
2021-05-11,6.0,6.0,24.0,18.0,23.0,12.0,13.0,9.0,111.0
