run_num,max_feat,min_df,max_df,ngram_range,n_components,random_state,top_terms,coherence_type,num_features,coherence,perplexity,cohe_folds,perp_folds
1,10000,25,0.9,"(1, 1)",3,,10,u_mass,8818,-1.172181455589232,1528.690373420663,"[(-1.2391441707465813, [-1.363810344020599, -1.0668905886853393, -1.286731579533806]), (-1.2001061916721012, [-1.3774895876286557, -1.025736319818311, -1.1970926675693372]), (-1.203201029856636, [-1.0573426356676208, -1.2961156581671978, -1.256144795735089]), (-1.1072140508817843, [-1.151867176743315, -1.1262532437189348, -1.0435217321831027]), (-1.1112418347890582, [-1.1096754789889098, -1.0088061921603022, -1.2152438332179634])]","[1483.379826238543, 1438.6850387721222, 1523.109960851606, 1513.9834120005482, 1684.2936292404954]"
1,10000,25,0.9,"(1, 1)",10,,10,u_mass,8818,-1.3855764729978663,1482.9331143212785,"[(-1.3321428129677502, [-1.8733632817399162, -1.5605707140754606, -1.0746581436446658, -0.9797942431242626, -2.25404642056705, -0.9518175604910066, -0.5692034185424099, -1.5785989243521703, -1.4291740921266627, -1.0502013310138971]), (-1.458220801796307, [-1.2025720915092255, -1.4934961991445201, -2.0877436664916167, -1.828801049908441, -1.0126114569761195, -0.5692034185424099, -1.0711298936785636, -2.0289001505270794, -1.2441483777423694, -2.043601713442722]), (-1.3537905829094967, [-1.7755668085663516, -0.5692034185424099, -1.0634778788132597, -1.1907740256779498, -1.0353078891994227, -1.2888716372792586, -1.2565427503886593, -1.5711139803879408, -1.487323494129624, -2.29972394611009]), (-1.3791570186226296, [-1.0607172994263863, -1.2728554618854067, -1.678501174640614, -1.5817875852045422, -1.1429661183508968, -1.0989429596659688, -1.2757798546996169, -1.9053170448694576, -0.5692034185424099, -2.2054992689409976]), (-1.4045711486931474, [-1.808742651302905, -0.9720831301096426, -2.092692183677857, -1.5947758846977893, -0.9532571332688033, -1.0982553620282096, -1.633368045309673, -1.2232069462564377, -1.629037895920169, -1.040292254359987])]","[1435.1529394856345, 1436.2164481286475, 1461.6449228963327, 1484.1462288078899, 1597.5050322878878]"
1,10000,25,0.9,"(1, 1)",20,,10,u_mass,8818,-1.5636715868206594,1552.8354356561583,"[(-1.5901819655386853, [-1.969168522668718, -1.2140323659586463, -2.090611962569091, -1.0679310688833104, -1.591513720873755, -1.4882489125574554, -1.562552255514824, -1.6003828824516944, -1.2223400188143416, -1.7859164102394898, -1.685401789467156, -1.371347829885988, -3.5164348359562974, -0.9943471725867171, -2.1383533001876187, -0.5513034617411098, -1.2385603684414466, -2.152059121541982, -1.1163613567918014, -1.4467719536422585]), (-1.5460311412365175, [-1.471374873830641, -1.1917048608189476, -1.465808043191616, -1.8138902226663125, -0.5692034185424099, -1.6060284481530356, -1.429743010374875, -1.2948973515774962, -1.2173435950266565, -1.8056092572190474, -1.01069858925077, -1.5513312686547553, -1.8153178186816776, -1.4055475993136552, -1.8875964999780108, -2.5214508102533375, -1.5053882436093737, -2.7431292170661314, -1.1784952215826816, -1.4360644749389202]), (-1.514523125360751, [-0.9282511279134921, -1.8262580398089727, -2.357734405024591, -1.3299686449861512, -1.218660074285963, -1.2823831839738495, -1.4750098461474765, -1.4260101696334149, -2.528463432194972, -1.7970348639961429, -0.5688443980184689, -1.425794811601441, -1.5711139803879408, -1.7949385027415095, -1.7170652951997856, -1.268741108189983, -1.1544905617726917, -1.388207547130252, -1.3784347712426435, -1.8530577429652686]), (-1.5419805743804706, [-1.0855499705106764, -1.4167290036890474, -1.532955747186628, -0.5513034617411098, -2.625285298192313, -2.3095532929404055, -1.8436387764360025, -1.4232764734533276, -1.6374925176346609, -1.1620767425452472, -1.3959984963286218, -1.301312078916332, -2.3310290449460966, -1.5022852825780697, -1.453494106109659, -1.87251993645675, -1.0876589727000472, -1.7798971408833908, -1.1414205375528985, -1.3861346068081266]), (-1.6256411275868736, [-2.477935130554077, -1.2575900643509659, -1.6738847219196613, -1.2437779794714303, -0.5513034617411098, -1.5015632063549402, -1.1752189699176734, -2.671773907033834, -1.955686674059852, -1.3645325880114632, -0.9375362067678957, -2.0597153299075357, -1.3893475254433276, -1.756448965978054, -1.3287510144706134, -1.1597866646537982, -2.3694113596945727, -1.5939162883023499, -2.5214508102533375, -1.5231916828509766])]","[1525.3552503362255, 1528.414094872189, 1545.5964944007312, 1519.1726530800659, 1645.6386855915794]"
1,10000,25,0.9,"(1, 1)",30,,10,u_mass,8818,-1.7271245197483367,1625.0433041015583,"[(-1.6743555429386885, [-2.830421254356006, -1.4424258637608833, -2.0725423996180927, -2.036467576097743, -1.2108120628128656, -1.9794192500090073, -1.4283934658968707, -1.482662389253145, -1.6165177756684752, -1.1488121067184935, -1.7382908207383618, -1.6202412143439056, -1.186676471995653, -1.3797985826106811, -2.3634964097967974, -1.9480045932646062, -0.5493369073737491, -1.026200061697451, -1.1709192683406313, -1.4672402707400314, -1.0297167830311478, -2.5321513595963774, -3.641245197743871, -1.2073036626258435, -1.7119256739388908, -2.045494413773537, -1.4488840406923142, -2.2811194796145657, -1.0006737349186994, -1.6334731971319463]), (-1.6624413347881852, [-2.2478879664238707, -1.1493426254692722, -2.3050813451837113, -2.251483191934896, -1.0353719116242273, -1.1856894497000547, -1.5922806831999308, -1.9735141837511958, -2.233660467741174, -2.3534438019771993, -2.016860623738654, -1.1927473880181065, -1.0429196415958308, -2.1442073671212447, -0.6124627042011332, -1.6573675756198454, -2.3908970213063157, -1.5778775496835065, -1.4481438910445168, -1.623760341884816, -1.2207349379657788, -2.8074079876122586, -1.1605391233876696, -1.2559172272875316, -1.8917831224161177, -1.3731425962108217, -1.8854479364359333, -2.0738087307903266, -1.6202871015161024, -0.5491715488035195]), (-1.7149874386239388, [-1.7412450063434086, -1.6827511383338458, -2.0121079507133293, -1.7023281061759488, -1.9611162756244205, -0.9852569469034477, -2.17734684207608, -3.1271225673034526, -1.4027837954705025, -2.3197716915628908, -1.0889929940923733, -2.022213534471173, -1.9328649443916652, -1.3983641108499418, -1.5375057791540314, -1.360282956143964, -1.349733610337845, -2.1473584806849817, -1.5916699202906308, -1.4740171350069324, -1.0242401003527062, -1.4361552986111554, -2.0241414363663304, -2.5914362474341988, -1.274697550614298, -0.5493369073737491, -1.1981265882294785, -2.8650425152594066, -1.3120991685929415, -2.159513559953035]), (-1.7878950914161817, [-1.8834492161113827, -1.4616277096790804, -3.1053675906785307, -2.020143974427964, -1.5157658941623184, -1.6838922659643316, -1.2408333971102896, -1.2036834280270758, -1.3395697578113235, -1.598957394270482, -2.148566577968104, -1.9497845914027916, -1.2733257324501355, -1.115567459335992, -2.2995780503804495, -1.849356571065375, -0.5692034185424099, -1.803115335837934, -1.0788592896348077, -2.0334665880782508, -2.644203780873248, -2.895386913982877, -1.820352493273968, -1.7557555257054567, -1.7050876401761934, -1.6053342556857968, -2.1780711833585866, -2.18466130540245, -2.286029960955702, -1.3878554401321435]), (-1.7959431909746892, [-1.4206854193613898, -1.4956690172657319, -1.4531888301789022, -1.8970076169508783, -3.3076645977728845, -1.7618271655129942, -1.678882801382084, -1.679370622196704, -2.1330546794425342, -2.08470528946523, -1.1749060300101382, -1.12765448051412, -2.1012353118416556, -1.2662928653770538, -2.3036204408743752, -0.9444129361315445, -1.192659767886518, -2.4099600940667973, -1.538095664457055, -0.568864935478186, -1.4576936374137337, -1.6401561277227277, -2.227596983570962, -1.7917827703875733, -1.048487049573874, -1.3076899453723945, -1.562249119973866, -4.800575904513451, -1.987868911213012, -2.5144367133323122])]","[1626.0165103640497, 1594.8041236529816, 1649.0125767341199, 1584.0749011170753, 1671.3084086395656]"
1,10000,25,0.9,"(1, 1)",40,,10,u_mass,8818,-1.815741822979704,1736.7583708545844,"[(-1.8387481941871464, [-1.3055692832481556, -1.8134099922430567, -1.4471155561136433, -1.7592032207895463, -1.163435517297161, -1.1926417837269983, -1.3675791550303138, -2.186086192592845, -1.1771277248269383, -3.0052544304106403, -2.1026714090083107, -1.2187465927594923, -2.510503814790559, -2.3098969023347644, -2.09810022995995, -1.6984127837281584, -1.570244730040592, -1.456169323722451, -2.304274174870621, -1.2203332645725697, -2.280956343343524, -1.9463057603264948, -1.7089451134702298, -1.7427688497068714, -1.5957685322854427, -1.5147427853543105, -2.3896330643704884, -2.7297602603270064, -2.077266612759863, -1.3293602815642727, -1.1563247796730989, -1.692856561272977, -0.5688443980184689, -1.5438546750176274, -3.4111785401542205, -1.7427421922808466, -2.153662796756422, -4.1938029713251135, -1.0010333568017196, -1.8633438106100986]), (-1.9263637688587107, [-2.163392977046082, -2.310841964954009, -2.1337074227280204, -3.5664212432665523, -1.2666518874474813, -1.7018271052637168, -2.127119086749118, -1.2766327281181782, -1.1544293725784487, -2.6420069804108537, -1.4068519868158542, -1.8921143741793023, -1.4543523736681434, -1.584241485699284, -1.9549817675204868, -3.1735733045571757, -2.144285691406105, -1.992612724282378, -1.3772575666824052, -1.2773642749708853, -0.9901885118575333, -2.0594234653807852, -1.5868947137337384, -1.952494831744859, -5.25755675986617, -2.5894417208919447, -1.2103373299176272, -1.7991572436747119, -1.703481533059011, -1.7486644356629306, -1.1011313674795231, -2.321585906370612, -2.9230488387903373, -1.721567873235655, -1.4908212500848297, -0.5509444412171687, -1.5111742910731807, -1.6985156630949527, -0.8980966544590678, -3.339357604409309]), (-1.781366340845913, [-1.2504808550186859, -0.5509444412171687, -2.266277653085, -1.819719048998604, -2.131495499091049, -1.3221302728958961, -1.3026583296465528, -2.4893350398921603, -2.2344478372328918, -2.8252087427070887, -2.083316248487056, -2.1578889916815096, -1.5743501959731554, -1.21492661630658, -1.8098680996137892, -0.9764619600876269, -1.179841558637928, -2.252526619162005, -1.4066838508380874, -1.2517790967740103, -1.7994318489794898, -2.0264723638046354, -1.980111110038362, -1.1771277248269383, -2.1229875818799746, -1.7127691011056796, -2.175393005317455, -2.0212611200447625, -1.3761793483873934, -1.1614729398347425, -2.612911592701141, -1.3930795815353503, -2.4964924255963883, -1.8959119073749162, -2.849628341760112, -1.8819673454413355, -1.2655170415542767, -1.9206100996464335, -2.0296119579859506, -1.2553762386743397]), (-1.770212203069531, [-1.2085770486050316, -2.4664125650277513, -1.4486405404997211, -2.015290401647922, -1.9672919936726272, -1.7086656689015831, -1.8278604859069831, -2.4303005627836414, -2.1328722009089094, -1.4814753995644974, -1.8866334669365616, -1.4796062633063178, -1.384779810652262, -1.7484702846196538, -0.9437096601719586, -2.1105008874538753, -1.621741591696958, -2.0887545674340204, -1.110684805440496, -1.4501976070874005, -1.9084482652111514, -2.467778618446936, -1.3033490053986487, -2.509061357202784, -2.0865297546506647, -1.504420843950274, -2.144717492894559, -1.4275073794790896, -1.1698832361304068, -1.5700371994790538, -1.3088349025479653, -1.0101279044759446, -1.6989152354037511, -2.1172184039895687, -2.0286084362023584, -0.5513034617411098, -2.6579845082543767, -1.9299106721976562, -1.6165875771386335, -3.2847980556681358]), (-1.7620186079372175, [-1.8702181449335906, -1.7257162472276468, -1.0407893811687143, -1.5025896521462963, -1.2635143352157543, -2.7655815279518525, -1.0014972582503314, -1.6267902894668733, -1.7368689604835819, -2.090776349755117, -1.3451615208712098, -1.9315022099968135, -2.368656420264812, -1.5159477026438843, -3.0902707207704325, -1.369641237814362, -1.2572889475917404, -0.5870329098563866, -2.4034228975638827, -2.1486918826069292, -1.5755777182341066, -1.7759070514007618, -1.462809063914288, -1.760001408465482, -1.1793680604757335, -1.385419909952733, -1.2176874632173302, -1.3300052056278124, -1.1136947670890354, -2.455390665201797, -2.0134271373324606, -2.590630594393919, -2.522876464753444, -1.6930547640868578, -2.499087370305803, -2.117194008057982, -1.765467252553913, -2.0908921464556145, -1.2408773339145542, -2.049417335474876])]","[1739.6433707081894, 1720.7549714181073, 1764.5453924860544, 1682.166908570217, 1776.6812110903543]"
2,10000,25,0.9,"(1, 1)",8,,10,u_mass,8818,-1.3207002783109474,1462.6758775559308,"[(-1.3554903209090683, [-1.1485249662482713, -2.3146368162824054, -1.247863671436253, -1.9082191176933954, -1.084569471236064, -0.5875468542087476, -1.2575900643509659, -1.2949716058164442]), (-1.1978525416746493, [-1.1160007176934732, -1.3126052344079295, -0.4602180974741884, -1.66629443982403, -1.1142610011730527, -1.0544409124841712, -1.593405743619668, -1.2655941867206812]), (-1.2956271962108854, [-1.0869159133089672, -1.303168510400772, -1.4830897489760828, -1.8690964831703905, -1.7611634024077334, -0.49943439985623506, -0.9595840756816748, -1.4025650358852266]), (-1.3337188558413469, [-1.6009555729636888, -1.306652964432736, -1.9456367865485757, -0.5875468542087476, -1.422464258348708, -0.9123589169759241, -1.7690471867594897, -1.125088306492905]), (-1.4208124769187873, [-1.430627563936637, -1.4025299664041635, -1.8083518805718328, -1.0459115004173878, -1.9038805590128343, -1.341806020157174, -1.457697988544984, -0.975694336305286])]","[1406.7482394160625, 1427.3518778450332, 1451.8318346817405, 1465.0753912267203, 1562.3720446100983]"
2,10000,25,0.9,"(1, 1)",10,,10,u_mass,8818,-1.35609989001047,1467.6948957872105,"[(-1.3354496607017083, [-1.1872173627436728, -1.0348679843158324, -1.705450260073106, -1.1038959426471031, -1.2255580203082852, -1.5205529119385672, -1.0422588087273479, -2.19526694021276, -0.9206528787277363, -1.4187754973226727]), (-1.3113034163059285, [-1.7688928903013479, -1.0682192434312838, -0.9058862801462948, -0.8926982745535305, -1.751140852894738, -1.197913089178935, -2.1471483683453627, -1.670005341787599, -1.1419264038777819, -0.5692034185424099]), (-1.3337763879068905, [-1.7596735795775547, -1.4200749938219586, -0.5677774391645533, -1.1117548216542457, -1.174882647632049, -1.5575098201748363, -1.291578605523036, -1.2152787835728474, -1.7218608720983948, -1.517372315849429]), (-1.2869333990267142, [-1.138424762343639, -1.6376471390600322, -1.4261385275089824, -1.0339956894818199, -1.6525856590463495, -1.2474747294306245, -1.9397116719728678, -0.5692034185424099, -1.1619867796630556, -1.0621656132173618]), (-1.5130365861111075, [-1.2860333090728042, -1.164091338248445, -1.8398519336788868, -1.1355092857258187, -3.043920060151309, -2.193315373073964, -0.9774813597714124, -1.411747167021733, -1.5092126158242918, -0.5692034185424099])]","[1423.3965773847935, 1425.8957347701153, 1455.17414044345, 1450.294143678763, 1583.713882658929]"
2,10000,25,0.9,"(1, 1)",12,,10,u_mass,8818,-1.4530444375966434,1489.633426480617,"[(-1.4940676366869103, [-1.5760519210824473, -1.0275080159365213, -1.8662681261675405, -2.1400390819786264, -2.3486542541768363, -1.5143513548386582, -0.5692034185424099, -1.0700769685871134, -1.6346750918622073, -1.3285483103121452, -1.3143968239748802, -1.5390382727835394]), (-1.5362819794123264, [-1.4190650260814257, -1.5776603236080473, -1.2647331271195417, -0.9319102265640338, -1.1872372469618964, -2.460130284913161, -2.0349549794129, -2.903910936609851, -1.1001189998540104, -1.500732218773827, -0.5222711107673493, -1.5326592722818766]), (-1.420664666414938, [-1.25246409486966, -1.5156642949121695, -1.0142951358744494, -1.9524727750837165, -1.1447427197189666, -0.5692034185424099, -1.0556864213315889, -1.5890098746002985, -1.5171765764028038, -2.351614962746118, -1.6964194762875502, -1.3892262466095255]), (-1.425293205772091, [-1.3241218660150407, -2.5601665017674486, -1.383210001954407, -1.0123664028581854, -1.8051193861091075, -1.329724070504053, -1.8361314486393332, -1.5367159383940359, -1.2646885172087228, -1.0043022241361348, -1.586754014204433, -0.4602180974741884]), (-1.3889146996969517, [-1.904789607906869, -1.2313653402943043, -1.9472379080817868, -1.4867956512664027, -0.9840380611175967, -1.4514274784153274, -1.6990990704104036, -0.94733093035362, -1.5680471034354528, -1.2072766099046404, -1.6703652166346052, -0.5692034185424099])]","[1443.8787126441557, 1448.8109466449127, 1467.2088239993514, 1496.123171402173, 1592.14547771249]"
2,10000,25,0.9,"(1, 1)",15,,10,u_mass,8818,-1.4729589146622146,1492.0166039206997,"[(-1.4814568053631532, [-1.249028339477849, -1.496829008445064, -2.1227444473558785, -1.0368286816731636, -1.3439320623565518, -2.291674699739899, -1.57237092040516, -1.5519316069490035, -1.8840952887796751, -2.118211692930156, -1.0592741132525045, -0.5692034185424099, -1.145176859304944, -1.1226801821384245, -1.657870759096617]), (-1.3844064764720945, [-1.011560913942082, -1.7289652447268862, -0.5692034185424099, -1.189633892729929, -1.1662407434479196, -1.5711139803879408, -1.0627276563715047, -1.2224761818651468, -0.9637909973186863, -1.6822165671945066, -1.9000115924844239, -1.4747967433376934, -1.6186220534814273, -1.9100183133497552, -1.6947188479011062]), (-1.41756010391349, [-1.5981647142632391, -1.8431209729150089, -1.2256120828532824, -2.177342050431515, -1.8993243053307671, -1.1333371846277336, -0.9064384676245433, -1.3287030446137356, -1.1771277248269383, -1.2683329273073265, -2.382125966274873, -1.0899584163543, -1.5684508656506302, -1.0961594170860447, -0.5692034185424099]), (-1.5576721442641215, [-1.0420216028922846, -1.3427235891162572, -1.5359303924658028, -1.6831260265762775, -1.340332269453322, -1.6370803641175047, -1.2979798428506255, -0.5692034185424099, -1.1963547921065028, -1.8870361995425378, -2.043667826426887, -1.5926137135479388, -3.027670116270207, -1.4542279314563304, -1.7151140785969368]), (-1.523699043298214, [-1.3731614795979732, -2.0357031931536658, -1.1171577739190357, -1.0920232464167303, -1.288113354237617, -2.015525772505191, -2.053501826527122, -1.4336137805708296, -1.497010286793248, -0.5692034185424099, -1.487047615603533, -1.5201937419332163, -2.164014109418189, -1.418021348622852, -1.7911947016315948])]","[1451.5168313033876, 1466.3086615221193, 1477.31115692456, 1487.912154391169, 1577.034215462263]"
3,10000,25,0.9,"(1, 1)",5,,10,u_mass,8818,-1.2216771094322314,1480.0972539444008,"[(-1.4201418351231556, [-1.1389884083412343, -1.8401036019148251, -1.9634213131270348, -1.1351491168029348, -1.0230467354297494]), (-1.262437441176291, [-1.810894995482755, -0.6172047679943133, -1.738005463478209, -1.1136250143032163, -1.0324569646229622]), (-1.1506183555235214, [-1.7170481561432622, -1.0089101961917364, -1.0797649157674132, -0.8653262678232684, -1.0820422416919269]), (-1.112961202663661, [-0.6493953561090601, -1.0579897654936208, -1.1997552827651152, -1.4108831813910354, -1.246782427559474]), (-1.1622267126745272, [-1.148474825770474, -0.44187466180785073, -1.2552785295714557, -1.7085163292660634, -1.2569892169567918])]","[1385.6762160773076, 1419.7191744450888, 1468.2324040802241, 1502.7250884349876, 1624.133386684396]"
